日期,USD,AUS,RMB,CAN,CHF,POUND,PESO,MOP,NT,SING,NZD,EURO,YEN
2026-05-13,7.8335,5.6502,1.1553,5.7129,10.0275,10.5836,0.1274,0.9704,0.2483,6.1512,4.6539,9.1971,0.0497
2026-05-12,7.8342,5.669,1.1553,5.7267,10.0612,10.6479,0.1283,0.9704,0.2493,6.168,4.657,9.217,0.0498
2026-05-11,7.8336,5.6553,1.154,5.7328,10.0475,10.633,0.1292,0.9704,0.2492,6.1712,4.6595,9.1937,0.0499
2026-05-10,7.8365,5.6875,1.1546,5.7478,10.0712,10.6678,0.1297,0.9704,0.2497,6.1873,4.68,9.2158,0.0501
2026-05-09,7.8365,5.6875,1.1546,5.7478,10.0712,10.6678,0.1297,0.9704,0.2497,6.1873,4.68,9.2158,0.0501
2026-05-08,7.8365,5.6875,1.1546,5.7478,10.0712,10.6678,0.1297,0.9704,0.2497,6.1873,4.68,9.2158,0.0501
2026-05-07,7.8406,5.6749,1.1529,5.765,10.0494,10.6562,0.1277,0.9704,0.2492,6.1684,4.6664,9.1983,0.0503
2026-05-06,7.8412,5.6047,1.1506,5.7537,10.0014,10.6092,0.1273,0.9704,0.2479,6.1377,4.6028,9.1602,0.0498
2026-05-05,7.8377,5.6332,1.1501,5.7573,10.0065,10.6268,0.1272,0.9704,0.2477,6.147,4.6192,9.1788,0.0499
2026-05-04,7.8387,5.5842,1.1494,5.7311,9.9104,10.5655,0.1274,0.9704,0.247,6.1231,4.5748,9.1503,0.0489
2026-05-03,7.8414,5.6135,1.1505,5.7285,9.9307,10.5841,0.1272,0.9704,0.2479,6.1362,4.5963,9.1734,0.0491
2026-05-02,7.8414,5.6135,1.1505,5.7285,9.9307,10.5841,0.1272,0.9704,0.2479,6.1362,4.5963,9.1734,0.0491
2026-05-01,7.8414,5.6135,1.1505,5.7285,9.9307,10.5841,0.1272,0.9704,0.2479,6.1362,4.5963,9.1734,0.0491
2026-04-30,7.8414,5.6135,1.1505,5.7285,9.9307,10.5841,0.1272,0.9704,0.2479,6.1362,4.5963,9.1734,0.0491
2026-04-29,7.8407,5.6248,1.1495,5.7456,9.9229,10.5862,0.1279,0.9704,0.2484,6.1397,4.6175,9.1659,0.0491
2026-04-28,7.8416,5.6243,1.1515,5.7471,9.986,10.6157,0.129,0.9704,0.2492,6.153,4.6223,9.2038,0.0492
2026-04-27,7.8404,5.5897,1.1498,5.7206,9.961,10.5604,0.129,0.9701,0.2487,6.1325,4.5879,9.1609,0.0491
2026-04-26,7.8371,5.6061,1.1494,5.7307,9.9822,10.5657,0.1295,0.9709,0.2481,6.139,4.6153,9.166,0.0491
2026-04-25,7.8371,5.6061,1.1494,5.7307,9.9822,10.5657,0.1295,0.9709,0.2481,6.139,4.6153,9.166,0.0491
2026-04-24,7.8371,5.6061,1.1494,5.7307,9.9822,10.5657,0.1295,0.9709,0.2481,6.139,4.6153,9.166,0.0491
2026-04-23,7.836,5.6144,1.1513,5.7363,10.0423,10.5932,0.1302,0.9704,0.2488,6.1549,4.6358,9.2063,0.0492
2026-04-22,7.8346,5.6008,1.1521,5.734,10.0443,10.5772,0.1306,0.9704,0.249,6.1562,4.6236,9.2117,0.0492
2026-04-21,7.8373,5.5988,1.1517,5.7198,10.0125,10.5762,0.1306,0.9704,0.2483,6.1576,4.5959,9.2109,0.0493
2026-04-20,7.8335,5.6157,1.1499,5.7231,9.9967,10.5871,0.1304,0.9702,0.2479,6.1507,4.6097,9.2249,0.0492
2026-04-19,7.8349,5.6249,1.1518,5.705,10.0126,10.6168,0.1305,0.9702,0.2482,6.1627,4.6226,9.2332,0.0493
2026-04-18,7.8349,5.6249,1.1518,5.705,10.0126,10.6168,0.1305,0.9702,0.2482,6.1627,4.6226,9.2332,0.0493
2026-04-17,7.8349,5.6249,1.1518,5.705,10.0126,10.6168,0.1305,0.9702,0.2482,6.1627,4.6226,9.2332,0.0493
2026-04-16,7.8407,5.5974,1.1525,5.6914,10.0322,10.6262,0.1304,0.9704,0.2476,6.1619,4.6269,9.2353,0.0493
2026-04-15,7.8389,5.5596,1.1525,5.6896,10.0279,10.6014,0.1308,0.9701,0.2477,6.1571,4.6128,9.2288,0.0493
2026-04-14,7.8353,5.5254,1.149,5.6562,9.9117,10.5179,0.1302,0.9704,0.2462,6.1396,4.5708,9.1596,0.0491
2026-04-13,7.8373,5.5264,1.1492,5.6581,9.9086,10.5057,0.1306,0.9704,0.2463,6.1404,4.5704,9.1483,0.0492
