日期,價格
2026-07-15,10.6638
2026-07-14,10.6476
2026-07-13,10.6433
2026-07-10,10.6721
2026-07-09,10.6817
2026-07-08,10.6691
2026-07-07,10.6943
2026-07-06,10.7421
2026-07-02,10.7343
2026-06-30,10.7825
2026-06-29,10.8141
2026-06-26,10.8049
2026-06-25,10.8004
2026-06-24,10.8001
2026-06-22,10.7483
2026-06-18,10.7709
2026-06-17,10.7562
2026-06-16,10.781
2026-06-15,10.7726
2026-06-12,10.7539
2026-06-11,10.7514
2026-06-10,10.7032
2026-06-09,10.7155
2026-06-08,10.6947
2026-06-05,10.7084
2026-06-04,10.7424
2026-06-03,10.7296
2026-06-02,10.7529
2026-06-01,10.743
2026-05-29,10.8008
2026-05-28,10.7851
2026-05-27,10.7657
2026-05-26,10.7603
2026-05-22,10.7268
2026-05-21,10.7057
2026-05-20,10.6945
2026-05-19,10.6447
2026-05-18,10.6754
2026-05-15,10.6742
2026-05-13,10.7222
2026-05-12,10.7156
2026-05-11,10.7462
2026-05-08,10.7659
2026-05-07,10.7515
2026-05-06,10.7699
2026-05-05,10.7218
2026-05-04,10.7009
2026-04-30,10.7587
2026-04-29,10.7424
2026-04-28,10.7786
2026-04-27,10.7903
2026-04-24,10.811
2026-04-23,10.805
2026-04-22,10.8208
2026-04-21,10.8128
2026-04-20,10.8383
2026-04-17,10.8483
2026-04-16,10.8015
2026-04-15,10.8181
2026-04-14,10.8284
2026-04-13,10.7867
2026-04-10,10.7766
2026-04-09,10.7867
2026-04-08,10.7975
2026-04-02,10.7412
2026-04-01,10.7208
2026-03-31,10.7395
2026-03-30,10.7156
2026-03-27,10.6717
2026-03-26,10.6993
2026-03-25,10.76
2026-03-24,10.7156
2026-03-23,10.7284
2026-03-20,10.7109
2026-03-19,10.7714
2026-03-18,10.776
2026-03-17,10.7896
